,si_Mp,si_Mn,mln_Mn,pre_inj,sp_Ame,sp_Mn,sp_Mp,mln_Mp
Abcb1a1,77.93951653788605,98.8183068132403,99.29775146069734,97.73911794728527,97.46157731886453,99.50465740887863,84.28429759286131,83.58497689390383
Abcb1a2,78.88731569838616,87.09260949129633,90.23309324490285,88.47365595281234,86.79151168079314,90.36264180973566,78.92605522760321,79.78603788637602
Abcb1b4,76.6797860875711,85.92232842187036,84.33897025762973,82.2660283654697,84.82186633892339,83.81432551344462,83.08105925244959,79.74560531856216
Abcb1b5,75.56265357816675,82.29515996515485,86.12074708154842,89.27125455061716,87.92424807423825,89.7837544758053,88.26305765359878,81.09713427264982
Ahr1,76.63502024901592,81.22876799103295,83.09873803530094,85.8592500469911,87.33746214147291,88.83473584867619,84.70997770223255,85.62725017041012
Ahr2,68.53792464187762,69.90402561748292,75.37884789180079,79.28240044334619,81.3001181882813,81.21279968414322,81.0753737892851,74.24888223420271
Ahr3,64.93444182656059,65.47055676628362,69.50324951700806,83.09677624160774,73.70746262063761,68.51546924169541,74.94166900653961,73.07101904162062
Ar1,69.92158757574924,64.0896140325652,67.31461605211935,74.97872506180309,68.56029020653311,71.20422889692766,70.53605574408842,68.42473411792949
Ar2,65.43117287697665,63.020145050107466,74.3972702848532,84.7758699035455,78.8287448359897,71.70101082477022,70.81270520549886,80.12894867437394
Ar3,78.98753527484801,77.9711812578169,81.25264321077282,84.69942833023092,83.18637514664688,76.78480220872119,80.84496054205572,83.0653018707407
Blimp-1,83.03564719631129,85.99447650817554,85.88777995349378,84.56983938485271,88.7922641306975,87.2448855128902,88.08686106524777,86.60158458914337
Cd19-1,94.56546131478275,93.33916470901691,95.88925165027221,97.93401443431986,96.18162985487872,96.9888642187931,95.98594708045223,96.73352403810375
Cd19-2,74.43784276660078,74.19858758506234,74.46205460353683,80.11622890098447,81.36285502668298,79.86280003414801,83.33159620247896,78.16655429440816
Cd19-3,81.63255377445499,82.06743945127195,92.8478881313844,86.79787921908225,92.7774563679374,91.61851139762932,92.27769580545151,93.66733812446128
Cd8a-1,78.59686832237706,82.89533099943412,84.45157619204288,81.91239472826285,86.83383162798177,85.66590643736474,87.97378175311773,83.95745997252419
Cd8a-2,71.7903919075228,67.77025942902306,82.4801411223722,87.43903825318094,81.47113191864791,82.87502131462459,81.41980851629661,82.20508006872211
Creb-2,73.77111937520917,76.24056511540836,75.90160609564784,85.97133783519702,80.34433364006152,79.34043746596593,81.32110145210348,77.67065251986838
Creb-3,88.64446004606751,89.28973476416103,92.880533182448,96.88471804459658,94.02167575264076,92.91853676065304,93.1688937241746,94.6672237864603
Dmrta1-1,70.93151123677214,72.53854921215714,76.95767412387606,85.15819391818161,81.5850711740517,79.25683617739917,78.83266696951623,77.48786640109164
Dmrta1-2,77.0893960808171,86.86117629482295,83.68025023439102,89.34480223896422,86.40304455569876,86.99703678080412,80.41448912859656,83.71227207158586
Dmrta1-3,57.98031191902808,70.75236903470562,73.71659836455716,78.05631219983226,80.14481158659034,81.15927146604974,81.82373786470248,75.11026398318938
Dmrta1-4,96.74116408548309,97.98420175488772,98.31407664665647,88.45541138119542,98.63064405186705,99.05192367728017,97.86928596315656,96.08751010935846
Dmrta1-5,87.17769991978234,85.80554208788523,73.33971342074436,74.07955552239765,73.17196733347137,79.30785898722704,84.01851221499408,83.42900975439615
Eomes1,78.32615864020079,78.51070685756372,83.41598636625554,83.68203363710468,80.9764904695885,80.72788611265317,82.12746186438108,79.8095016401298
Eomes2,79.23116529919237,79.37643474283277,79.0484068355196,81.95270513855243,80.50182383055025,80.65247594133437,83.28420514160754,80.15114534455621
Eomes3,74.38096377765041,72.39181494183151,74.58166369866693,71.66227966865405,74.65229724071885,67.99709237221188,74.1648204537378,75.92059263260201
Eomes4,77.5895547780818,77.31955207708197,82.16182587760436,84.58983944181561,86.0344517596435,85.31411774023442,84.71900539893164,81.76797696036455
Eomes5,85.68129916607558,86.73281765321643,87.8042941478405,86.67027865986213,89.34006525248462,89.91128992445233,88.69111964510512,86.4324655032965
Esr1-1,72.43735674590789,69.0104514225232,71.3836700801689,80.63494191595227,72.41463012858199,74.67565765168719,73.47436928656688,69.44633484278472
Esr1-2,50.854673217499844,72.86378106919942,67.02784376160271,76.58992218713405,65.35152559520536,70.53605574408842,67.25844704765714,60.27134071779826
Esr1-3,67.20169809072947,71.89088723458315,74.01913501720576,79.77595458385076,78.48586557127994,74.62100747675059,72.01411492435035,66.90879925683319
Esr2-1,67.39780864880915,62.35389310130215,62.28225249510471,77.75536434393668,62.630836897377584,57.23490364285322,73.65235064692743,72.03845079916769
Esr2-2,77.48786640109164,75.9709338445113,80.06508581337339,77.43391780182866,80.99860191356747,80.02321744747334,82.50179667149892,79.53236975134934
Esr2-3,78.27055353987197,72.18237170839392,84.13881033356984,86.31389115108018,87.89975703912678,86.5331876439748,88.20687126330586,86.42229793229417
Esrra1,56.097922900693675,66.43773748534976,72.65990284348275,78.7457965434892,68.92744445879818,71.53127684039575,71.97741953515713,74.5420593516445
Esrra2,61.06525778493228,52.84905993553184,57.432553146159414,73.19195132980023,55.551393920908055,69.0104514225232,65.02050938103349,66.0290976512502
Esrra3,62.42454444202157,73.679970656531,56.34864436361433,77.29440385693016,71.3836700801689,72.77879817269539,64.28937839849759,65.73843628643584
Esrrb1,59.579372412248496,60.58407595763657,60.27134071779826,73.12170917920892,66.75625463783415,58.77314065200072,61.985191960399966,63.32356294097274
Esrrb2,50.854673217499844,54.584823011003316,71.64931166346364,82.3241543070387,71.50471743344539,43.57963889333246,70.99000727842477,76.64063404444929
Esrrb3,82.40593658597459,82.73302291605772,77.72256012688102,82.27276329217167,82.42566625396194,77.75536434393668,78.2101018850409,82.05117911145045
Esrrb4,79.93206207282864,81.14312200656774,81.63255377445499,85.47007640926971,85.63500145948998,83.11440982550172,84.29559403120577,84.38839341795224
Esrrb5,60.684095379852785,59.70167708444618,52.28149440976294,70.50447695836813,72.83205625391454,72.12283543240345,73.88755803049702,72.27638513459796
Esrrg1,52.28149440976294,70.24537171598547,65.9578873958727,76.64063404444929,67.71856516777261,59.32518675838501,66.06435385991911,67.77025942902306
Esrrg2,65.88572515269571,61.06525778493228,66.96864508275054,70.7371854945908,74.86686294595518,69.92158757574924,74.56585342633669,72.19420645907128
Esrrg3,85.21385191747535,87.71717347731995,96.90019649664724,94.21632893097423,93.75285673580038,92.93102294854822,92.07235022048845,93.12925169542092
Esrrg4,77.40428918549152,69.93909548739855,71.45123066315584,87.37984286652201,84.24052779829367,73.41703460712469,83.50473776688064,83.35985574368503
Hnf4a1,72.35742452777292,69.48434150135887,58.14972061150513,72.52739151658693,64.4818447312799,43.57963889333246,66.2711986193516,61.829898214077694
Hnf4a2,74.5341069012789,73.81617406588819,72.06268552216277,81.39915895930322,76.67420835566901,72.15863000711238,75.98970428965582,74.35642018619005
Hnf4a3,71.9281300526279,74.72210671645651,68.64886880506099,73.83410064748337,74.69118075512077,77.79728436748879,72.63802444342411,75.337229063081
Hnf4a4,69.21276518824503,58.9171562375376,73.05062030934332,80.21412772166885,79.4157901970937,75.77995272812342,72.89533569136105,75.64257979038746
Hnf4a5,64.5288847895223,60.27134071779826,74.97133213730434,74.34821650812303,80.95152000112118,72.12283543240345,83.65701847403541,66.09938163106216
Hnf4g1,82.03020967861492,79.2495125588371,75.9709338445113,79.03324532606739,76.4177576242117,77.32456930911246,79.53936476289621,78.07851984343934
Hnf4g2,78.7378380023052,93.29021067450043,88.59508228519718,87.14381315368288,87.51265721352665,87.14581197549062,88.43152458090893,88.87025070229917
Hnf4g3,64.93444182656059,65.92192692203932,70.6452315213958,77.38445660050493,67.61370372487976,71.66227966865405,71.64931166346364,75.97719713385388
Hnf4g4,49.906505968925366,70.50447695836813,64.8026710204481,81.17001433285705,77.88942447833995,69.72535553657568,76.15606862132627,72.17051292464922
Ncoa1-1,76.18638140672222,76.504450131961,81.55489264701701,90.05364659494639,85.35619505298646,80.90407602891581,81.96686960111053,83.69983908170352
Ncoa1-2,65.77563784089367,43.57963889333246,48.67349679111055,70.4247598439104,60.58407595763657,67.50681262550596,63.88195193671934,53.35106268389222
Ncoa1-3,64.71297139755418,43.57963889333246,73.8430436868321,82.92768734677853,75.914270410023,72.03845079916769,79.52536678744252,73.48387128824888
Ncoa1-4,77.02125619971886,80.14164226668831,81.33156637474013,90.15809813271468,84.9346222431327,81.4915422726598,85.10624768316484,84.94187171912908
Ncoa1-5,81.57754037924381,81.46090135246403,74.36461260274795,76.29426866619575,79.62613878871151,78.06520491836743,80.7192318315678,80.64079212955157
Ncoa2-1,63.610226746403995,61.66970184895148,61.985191960399966,69.93909548739855,69.70717543130469,70.19545428339947,60.684095379852785,64.14027087136009
Ncoa2-2,57.02858522664304,63.72061798035337,72.02629556011328,79.68103959650283,67.17310222019647,71.32904806083509,71.17612131115533,60.684095379852785
Ncoa2-3,62.763901630166345,59.32518675838501,73.8608894709267,79.8228695053282,71.77770702370032,70.0601659740107,75.41331181352368,76.98424736520359
Ncoa2-4,60.16255056281098,73.11160595437033,77.71785941585303,75.28830719048113,72.45999549980363,78.58054955232664,75.03754287776388,73.94932315591893
Ncoa2-5,99.87167599988645,97.52607098360906,89.84759560250185,87.27036974444134,92.40444143344277,90.8476084509472,92.0261832417296,92.14232437066964
Ncoa2-6,54.93046024010364,59.32518675838501,62.957267046114275,71.2322003735662,65.88572515269571,73.68914881144397,67.74447267672704,71.97741953515713
Ncoa3-1,73.8430436868321,76.72975671185647,78.43169541732692,75.35807444620359,83.20760827854878,81.45834105692664,81.96451111771526,78.23608274347662
Ncoa3-2,63.6657141645594,67.37021726695261,70.36017705096486,69.48434150135887,71.96513620737205,73.7530013075838,71.35642352240468,73.8430436868321
Ncoa3-3,72.2060172771103,72.85322513438709,74.41353237430526,80.27957424581726,74.7758457544453,75.02289236952274,76.16821194538713,79.3187376457549
Ncoa3-4,43.57963889333246,54.584823011003316,72.9162784794368,85.97987309689434,77.86192779470727,71.07665284701308,73.76206725528638,52.28149440976294
Ncoa3-5,80.16379337966131,82.99987127093972,95.19261715689031,88.37539032571537,93.30859679607651,93.97460939017895,89.14783152356046,91.88450874717346
Ncoa4-1,71.59714797465634,74.95651890469178,79.40150820717943,83.9744803956504,77.56549629725839,78.60501147582104,78.68986906407677,78.51896499975535
Ncoa4-2,80.60560734711993,83.4029351974232,89.11688855492868,91.38803157147865,88.48236067134444,90.08024898278914,88.18773986148388,89.47248513708875
Ncoa4-3,78.11388551233772,85.29091723323268,85.7310531871073,90.1505393800757,85.0052940945053,88.22262676271646,85.7791356260631,87.32488087624863
Ncoa4-4,74.97872506180309,77.01598296959112,80.50182383055025,83.19024119290039,83.38985613203931,81.12693015863661,85.18747859601473,84.8967838892002
Ncoa4-5,66.599324082642,56.58649120055431,68.2858041570973,79.39793252829355,75.61605522773837,72.78948846229531,70.3276101410314,63.72061798035337
Ncoa5-1,72.06268552216277,74.07955552239765,71.96513620737205,74.14786484644014,78.30910300411603,78.02061168513221,76.16821194538713,73.74392148837832
Ncoa5-2,71.71386402940301,74.4216468398895,76.9948442825626,89.68114051186681,82.89533099943412,78.0918058986105,84.96934053400307,81.02338292881299
Ncoa5-3,74.89689744371972,75.39265714063299,78.54367298986098,85.99326092807361,82.642841481648,78.79727734600453,80.52867822276973,80.32897629081714
Ncoa6-2,86.27576348227713,88.60592106688242,84.83810383419433,85.96401212923128,88.45620585960022,88.46890221867861,89.31563825066772,86.11360356361124
Ncoa6-3,99.99760958529505,99.99535491577998,99.08674925354013,94.08689204393819,98.14108185186606,96.53519639067827,98.1693263143523,99.86587177674011
Ncoa7-1,69.44633484278472,63.14365274672634,70.37639122416054,75.73450820592666,72.13479136349976,67.66638314740217,65.06302702854852,68.51546924169541
Ncoa7-2,94.71137530160097,96.64713958748197,96.66235948731122,94.99175347161626,97.63684909513677,97.14948283733077,97.55782254903647,98.89712142919038
Ncoa7-3,74.5021908676061,76.0580352576839,75.81863485094497,80.8023856977607,75.96466406251011,75.5155359788039,78.58871435765747,77.19276139477522
Non-targeting-negative-control-#2-(RFP)-1,81.5220316905128,81.01238143092719,78.12269513243359,87.84603453327739,86.74674395801237,86.74353313131925,81.75090562340199,86.19758821561261
Non-targeting-negative-control-#4-(EGFP_881)-1,81.95034122537136,81.95979144086517,76.95767412387606,78.12269513243359,83.98975822625152,83.96086786284425,84.5621294371663,79.6639355809291
Non-targeting-negative-control-#5-(EGFP_1212)-2,88.4402948873984,87.21336568914646,91.31213794070737,89.3013383938299,92.25299231186482,93.57068971640015,92.04812904560497,91.91449372579235
Nr0b1-1,76.40026951811464,76.0703765968935,81.14312200656774,73.12170917920892,80.89285951930606,79.14978120488371,79.60888148114583,85.76020199742551
Nr0b1-2,76.60122812379943,77.56549629725839,79.08990933783056,80.32282262962734,79.16094261299098,79.55333100256834,78.17965108178244,81.27378832535666
Nr0b1-3,43.57963889333246,43.57963889333246,66.72522769448666,72.85322513438709,66.81778447820848,62.209593376856354,58.6246979355269,50.854673217499844
Nr0b1-4,51.62760541609119,66.0290976512502,59.579372412248496,70.7371854945908,60.377791241554604,66.37173375419593,60.05131119187027,61.75043290905688
Nr0b2-1,71.71386402940301,80.35659205016802,72.87431809387867,80.95707773460094,76.90954809082349,79.63647001943423,78.26625527140277,73.44577139661904
Nr0b2-2,74.42975029374212,76.05185513830696,85.0324760758839,86.15870112115836,89.1611394414417,82.12286547064224,83.78634287635653,91.16394197047384
Nr0b2-3,56.58649120055431,67.99709237221188,76.02085951451183,81.6375307350998,69.68893688820019,77.89399527498584,68.6707961341751,74.25722357546783
Nr1d1-1,60.377791241554604,50.854673217499844,66.8482914284234,59.70167708444618,68.23871391893202,62.209593376856354,60.782146705296256,73.74392148837832
Nr1d1-2,77.82507234425925,73.52172749577171,78.93762965247744,91.1491164003883,83.19410480138959,81.88617027141173,86.68543544823297,84.24052779829367
Nr1d1-3,46.89166021331561,43.57963889333246,43.57963889333246,73.7257200610277,71.7522539201195,56.34864436361433,64.24014370385,56.34864436361433
Nr1d2-4,67.25844704765714,71.09096803539309,70.24537171598547,77.0998118411177,73.70746262063761,73.46485200459824,69.09225117514609,72.82144316688989
Nr1d2-5,71.63631462653922,79.09366844623676,79.1311337515445,78.84441837718822,84.64183709769652,82.46493673429394,85.61430897041129,82.71216830955623
Nr1d2-6,67.34248688823774,71.7903919075228,75.66898824948325,77.17222805209326,79.30059585412458,79.91892915798701,81.90525366613883,68.9064997347054
Nr1h2-1,43.57963889333246,59.93750502488707,43.57963889333246,56.58649120055431,62.829165867373604,43.57963889333246,49.906505968925366,46.89166021331561
Nr1h2-2,77.49762425055464,77.88485026609138,75.81220500767549,78.54367298986098,81.00962798868879,76.45258335745334,82.04186817673325,80.73652827118082
Nr1h2-3,67.20169809072947,69.83323033778991,77.34959378978792,74.24888223420271,76.07653784276461,67.02784376160271,67.89742190913184,71.50471743344539
Nr1h3-4,85.23321111550972,88.77503390231543,87.80072765284689,90.3943934629194,90.93032210223143,88.51390068294818,90.26848578358535,89.81979774112814
Nr1h3-5,68.44755646833444,62.06109586191039,67.47976307743781,72.19420645907128,68.49292325479973,71.94049157999443,69.23260271181493,74.34000153660556
Nr1h3-6,70.59869614694692,82.07671183462747,76.06420907286252,85.55310725671208,80.53760377344929,83.95575531247056,84.24865713807174,74.67565765168719
Nr1h4-1,84.94766503384318,87.48822190574974,80.25161072490205,82.08597027741358,79.40508181099449,81.4429569199048,80.42358130356226,81.53216141971568
Nr1h4-2,95.52124880717474,97.85951770577195,98.76884551981892,98.44340029920431,98.68839926884625,98.64870764804927,98.71254605738329,98.28861165494996
Nr1h4-3,64.14027087136009,62.06109586191039,75.1174879003688,77.1876345373403,76.69092622050368,74.51018586907348,75.86982874267426,70.59869614694692
Nr1i2-4,68.5825666772571,76.16214332666456,79.36206107582059,81.29749025394636,75.64257979038746,75.84428601232888,75.62269731028022,77.59435513109817
Nr1i2-6,89.8451305400865,83.74059561369435,74.38096377765041,84.79074575583459,75.2531178251186,74.47814147903941,79.27875489883493,76.38858271337313
Nr1i2-7,73.05062030934332,79.27875489883493,85.51107679420468,86.68219086047145,83.59221939692935,85.2249219509674,85.15539745021572,83.7352949501321
Nr1i2-8,79.52886926458677,80.01675085303326,80.09071037568555,87.03382469474157,85.1721567884916,80.73940630280401,81.60010522431335,82.3130187987608
Nr1i3-1,69.57825630144343,73.47436928656688,59.82100568351759,76.62377707552038,78.13149210771466,76.74080574187452,82.0929049855186,70.36017705096486
Nr1i3-2,54.584823011003316,69.27206969005297,73.00960977630695,76.32980854268273,73.76206725528638,68.40181807882666,74.56585342633669,68.14332146755453
Nr1i3-4,52.28149440976294,63.26428353476937,43.57963889333246,75.9583877742064,65.43117287697665,43.57963889333246,70.78261628583505,43.57963889333246
Nr1i3-5,72.2060172771103,78.26625527140277,71.58403345567818,75.53577434778785,63.72061798035337,71.58403345567818,69.36954648257192,68.0217327580408
