name,si_Mp,si_Mn,mln_Mn,pre_inj,sp_Ame,sp_Mn,sp_Mp,mln_Mp
Abcb1a1,1278,70647,90474,47979,44228,104418,3726,3317
Abcb1a2,1504,5943,10110,7491,5652,10339,1514,1753
Abcb1b4,1027,4891,3760,2662,4074,3446,3050,1741
Abcb1b5,844,2675,5055,8574,6830,9358,7230,2188
Ahr1,1019,2237,3059,4840,6191,7962,3999,4657
Ahr2,231,300,817,1609,2264,2231,2180,668
Ahr3,113,126,278,3058,606,230,756,540
Ar1,301,95,182,761,232,383,338,226
Ar2,125,76,686,4043,1489,420,356,1858
Ar3,1530,1285,2246,3992,3104,1046,2097,3042
Blimp-1,3027,4950,4863,3907,7905,6096,7019,5476
Cd19-1,22460,17668,29797,50967,31870,38886,30460,36425
Cd19-2,691,662,694,1854,2288,1776,3180,1329
Cd19-3,2394,2575,16113,5658,15904,12888,14511,18811
Cd8a-1,1431,2957,3831,2509,5692,4687,6887,3529
Cd8a-2,427,199,2759,6297,2330,2947,2310,2635
Creb-2,613,951,896,4931,1927,1625,2272,1220
Creb-3,7710,8601,16211,37851,20152,16326,17109,22930
Dmrta1-1,364,490,1078,4308,2375,1602,1490,1182
Dmrta1-2,1103,5718,3370,8682,5298,5849,1950,3388
Dmrta1-3,25,352,607,1304,1863,2211,2472,779
Dmrta1-4,36495,51792,57908,7468,65276,78884,49938,31180
Dmrta1-5,6028,4797,567,648,550,1616,3565,3232
Eomes1,1366,1410,3225,3371,2144,2056,2601,1760
Eomes2,1595,1635,1546,2526,1979,2030,3155,1865
Eomes3,684,477,709,417,718,208,658,899
Eomes4,1203,1148,2616,3920,4983,4421,4005,2449
Eomes5,4699,5597,6694,5539,8675,9565,7771,5324
Esr1-1,481,253,396,2024,479,721,581,275
Esr1-2,4,520,172,1011,123,338,180,42
Esr1-3,178,435,641,1750,1404,714,445,168
Esr2-1,185,66,65,1238,70,21,600,447
Esr2-2,1182,907,1838,1171,2152,1825,2769,1679
Esr2-3,1353,459,3637,5220,6802,5414,7162,5315
Esrra1,16,153,501,1468,249,407,442,704
Esrra2,50,7,22,552,14,253,115,141
Esrra3,67,603,17,1143,396,512,99,133
Esrrb1,36,45,42,545,163,30,61,81
Esrrb2,4,11,416,2688,405,0,368,1020
Esrrb3,2725,2878,1231,2665,2734,1238,1339,2568
Esrrb4,1797,2205,2394,4537,4663,3067,3733,3791
Esrrb5,46,37,6,336,517,454,626,467
Esrrg1,6,320,139,1020,197,34,142,199
Esrrg2,137,50,170,351,746,301,707,460
Esrrg3,4348,6597,38002,20941,19124,16364,13981,16982
Esrrg4,1165,302,401,6235,3699,575,3273,3195
Hnf4a1,474,277,26,489,103,0,148,59
Hnf4a2,703,618,449,2302,1026,457,910,681
Hnf4a3,438,727,236,620,723,1247,499,811
Hnf4a4,263,31,538,1885,1646,877,523,856
Hnf4a5,104,42,760,680,2135,454,3357,143
Hnf4g1,2559,1600,907,1542,981,1149,1681,1309
Hnf4g2,1466,17505,7646,5994,6375,5996,7438,8010
Hnf4g3,113,138,345,1161,193,417,416,908
Hnf4g4,3,336,110,2215,1267,290,937,458
Ncoa1-1,942,996,2363,9802,4452,2118,2532,3381
Ncoa1-2,134,0,2,331,45,189,91,8
Ncoa1-3,108,0,621,2973,898,447,1677,582
Ncoa1-4,1090,1862,2276,9980,4151,2338,4271,4156
Ncoa1-5,2372,2326,682,960,1706,1306,2053,2026
Ncoa2-1,86,57,61,302,289,317,46,96
Ncoa2-2,20,88,446,1722,177,392,381,46
Ncoa2-3,72,34,623,1764,426,309,822,1083
Ncoa2-4,41,544,1230,804,483,1427,769,633
Ncoa2-5,161992,45053,9461,6122,14850,11249,13865,14159
Ncoa2-6,12,34,75,385,137,604,198,442
Ncoa3-1,621,1036,1391,814,3115,2325,2531,1345
Ncoa3-2,87,184,327,277,441,611,394,621
Ncoa3-3,461,519,688,1906,734,767,939,1619
Ncoa3-4,0,11,525,4938,1261,374,612,6
Ncoa3-5,1869,3009,25580,7368,17566,19967,8396,13516
Ncoa4-1,412,758,1642,3539,1198,1433,1454,1412
Ncoa4-2,2014,3218,8352,12371,7502,9847,7139,8873
Ncoa4-3,1317,4404,4738,9967,4200,7181,4776,6178
Ncoa4-4,761,1089,1979,3106,3211,2199,4329,4125
Ncoa4-5,158,18,220,1641,852,513,325,88
Ncoa5-1,449,648,441,656,1362,1296,939,610
Ncoa5-2,421,689,1085,9195,2957,1312,4175,2161
Ncoa5-3,750,819,1418,4949,2835,1481,1988,1922
Ncoa6-2,5187,7660,4085,4925,7469,7485,8639,5049
Ncoa6-3,350258,317664,80307,20412,54539,34679,55063,160033
Ncoa7-1,275,78,328,870,455,195,116,230
Ncoa7-2,23138,35648,35783,24520,46534,40575,45469,73202
Ncoa7-3,699,921,883,2082,906,837,1429,1123
Non-targeting-negative-control-#2-(RFP)-1,2350,2157,1319,6741,5610,5607,2442,5120
Non-targeting-negative-control-#4-(EGFP_881)-1,2525,2529,1078,1319,3548,3531,3902,1717
Non-targeting-negative-control-#5-(EGFP_1212)-2,7449,6064,12206,8618,14446,18465,13920,13589
Nr0b1-1,978,923,2205,545,2114,1573,1701,4761
Nr0b1-2,1013,1198,1557,1920,1576,1685,1332,2254
Nr0b1-3,0,0,162,519,165,64,29,4
Nr0b1-4,5,141,36,351,43,151,40,58
Nr0b2-1,421,1931,521,2137,1069,1709,1352,578
Nr0b2-2,690,920,4219,5087,8415,2599,3430,11891
Nr0b2-3,18,208,915,2396,288,1268,237,669
Nr1d1-1,43,4,166,37,218,64,47,610
Nr1d1-2,1253,586,1517,11860,3108,2498,5553,3699
Nr1d1-3,1,0,0,608,424,17,98,17
Nr1d2-4,180,375,320,1105,606,580,257,516
Nr1d2-5,415,1558,1568,1493,3954,2752,4647,2868
Nr1d2-6,183,427,860,1119,1614,1793,2506,248
Nr1h2-1,0,39,0,18,73,0,3,1
Nr1h2-2,1184,1266,882,1418,2156,987,2564,2059
Nr1h2-3,178,296,1154,668,924,172,204,405
Nr1h3-4,4362,7882,6690,10396,11413,7542,10172,9416
Nr1h3-5,227,62,188,460,229,439,264,679
Nr1h3-6,342,2579,922,4600,1991,3528,3704,721
Nr1h4-1,4160,6349,1897,2583,1643,2319,1953,2354
Nr1h4-2,27456,49786,69141,60705,66834,65755,67509,57387
Nr1h4-3,96,62,780,1122,1029,700,891,342
Nr1i2-4,233,938,1631,2263,856,887,853,1204
Nr1i2-6,9457,3404,684,4053,799,696,1608,976
Nr1i2-7,538,1608,4568,5550,3321,4356,4306,3401
Nr1i2-8,1678,1823,1846,5885,4318,2060,2381,2683
Nr1i3-1,282,581,38,1017,1321,1038,2586,327
Nr1i3-2,11,266,534,966,612,225,707,214
Nr1i3-4,6,80,0,905,125,0,354,0
Nr1i3-5,461,1352,411,840,88,411,271,209
Nr2c1-1,252,409,1033,900,1311,1064,1313,1012
Nr2c1-2,3307,3327,465,1745,714,280,501,865
Nr2c1-3,14,72,127,432,146,178,32,135
Nr2c2-5,2849,2032,698,1351,1164,1447,1558,1508
Nr2c2-6,57,215,394,3943,544,186,598,233
Nr2e1-1,3646,2163,9240,8795,12440,16890,5936,9707
Nr2e1-2,0,0,97,247,54,7,15,1
Nr2e1-3,502,528,1706,3838,1920,1922,2851,1705
Nr2e3-4,587,1560,326,654,668,551,822,1049
Nr2e3-5,30,12,124,570,247,177,505,267
Nr2e3-6,11045,11453,20050,2601,3797,4961,2449,11862
Nr2e3-7,367,583,764,680,927,1227,967,574
Nr2e3-8,359,2,314,1297,64,279,4,1728
Nr2f1-1,240,251,728,884,1076,232,865,515
Nr2f1-4,200,3388,2742,5730,3872,7021,4609,1178
Nr2f2-1,476,392,622,744,1342,594,1629,1630
Nr2f2-2,2397,2467,270,1437,51,70,105,1122
Nr2f2-3,1518,768,3750,5755,3389,3931,4212,5503
Nr2f2-4,365,514,445,792,448,7,171,240
Nr2f6-1,0,57,16,11,65,16,390,202
Nr2f6-2,464,1355,927,509,809,1141,598,1216
Nr2f6-3,0,496,374,999,503,1466,521,126
Nr2f6-4,1488,1965,3821,6445,3156,1274,5185,4025
Nr2f6-5,32,29,182,93,0,3,63,7
Nr3c1-1,1555,1785,1874,1269,2307,1646,1772,2081
Nr3c1-2,87,173,136,675,217,907,266,116
Nr3c1-3,35,128,267,1299,1271,279,739,259
Nr3c2-4,8,369,811,247,261,109,63,22
Nr3c2-5,1973,2803,5561,10380,9695,6464,8209,8855
Nr3c2-6,1683,1153,2877,2300,5292,2236,4425,3025
Nr4a1-1,98,73,604,866,330,407,437,270
Nr4a1-2,21,5,21,2039,522,494,622,1269
Nr4a1-3,3317,3118,1669,1130,2473,2344,2784,2864
Nr4a1-4,0,0,31,2,19,22,615,74
Nr4a2-6,829,304,156,1092,717,230,630,924
Nr4a2-7,242,458,904,2291,1,355,323,1227
Nr4a3-1,11,230,189,172,227,53,63,699
Nr4a3-2,1432,955,2120,1613,3107,2076,3466,2275
Nr4a3-3,164,31,112,1058,595,411,759,670
Nr5a1-1,4110,3572,5791,1968,3592,3276,4265,7553
Nr5a1-2,4541,2405,480,620,1895,286,3248,4391
Nr5a1-3,528,2260,2669,10267,4444,3759,1916,3269
Nr5a1-4,0,196,5,257,0,0,0,14
Nr5a2-1,315,179,688,333,1077,225,496,428
Nr5a2-2,51103,37012,65605,21916,48926,32740,171417,31905
Nr5a2-3,59,13,962,5723,1824,1105,1094,865
Nr6a1-1,1243,1732,3621,11060,5590,3957,3544,4465
Nr6a1-2,9,4,12,210,2,89,30,25
Nr6a1-3,42273,22727,27045,22951,23901,11636,16271,26909
Nr6a1-4,252,1071,2437,10385,3798,1705,1812,2558
Pgr-1,2183,2737,2661,2990,1326,1616,1489,1732
Pgr-2,196,167,69,1396,228,13,323,193
Pgr-3,0,104,207,1273,229,0,0,554
Pgr-4,1998,793,1196,1544,3295,1807,2998,2542
Pgr-5,28875,11757,9224,12958,9616,8455,11960,9853
Pgr-6,302,259,275,295,704,551,1094,677
Ppara-1,1068,711,362,783,303,346,282,689
Ppara-2,615,1517,3229,2476,2628,3776,1195,1384
Ppara-3,928,1312,4130,2822,4256,5088,3510,3030
Ppard-1,0,0,1,212,9,48,132,134
Ppard-2,3031,7527,21904,18638,7350,6905,8258,17177
Ppard-3,2,85,32,590,71,85,1,12
Ppard-4,101,0,27,2242,239,0,406,193
Ppard-5,52,39,11,648,145,27,784,287
Ppard-6,170,190,115,1582,282,570,419,386
Ppard-7,10817,6900,18505,3096,4640,4245,6198,19642
Pparg-1,679,808,4240,11888,2706,3580,4438,6073
Pparg-2,2,21,51,54,1,13,22,60
Pparg-3,4481,5410,5403,5151,8111,6430,8699,5698
Pparg-4,30,38,127,523,50,378,31,21
Pparg-5,52,772,886,3138,995,1753,373,849
Ppargc1a-1,120,341,688,1233,432,880,575,1469
Ppargc1a-2,1021,869,3703,9656,5907,5831,5023,3823
Ppargc1a-3,49,326,1289,745,1046,1443,297,935
Ppargc1b-1,0,455,24,341,4,241,5,257
Ppargc1b-2,1426,1732,503,181,89,401,477,1417
Ppargc1b-3,266,192,1111,1314,2074,1811,1297,897
Rara1,144,549,739,943,1602,1237,1623,1043
Rara2,28,52,146,724,277,89,403,602
Rara3,301,428,1134,1946,2044,2735,1639,1772
Rara4,7189,5544,7168,8335,9050,6467,11252,11685
Rarb1,5056,12355,18983,18470,16585,19566,12955,10871
Rarb2,2547,1423,7367,11522,8564,3561,8559,10009
Rarb3,48,14,5,328,37,19,12,19
Rarg1,2003,3440,3229,2369,1806,1933,1638,3527
Rarg2,1556,8505,12694,16136,27697,51579,10078,9123
Rarg3,531,510,653,1016,667,485,933,1047
Rora1,4292,3613,6542,15701,5332,7120,6607,8359
Rora2,1191,1279,1987,638,1248,690,1437,1055
Rora3,2605,6360,6688,12176,10309,7598,12221,5157
Rorb1,0,65,91,813,254,0,12,435
Rorb2,365,1336,2622,6101,3244,2912,3465,2101
Rorb3,65,27,216,1177,438,44,60,164
Rorc1,1889,2726,13599,8085,19249,24149,16495,19567
Rorc2,601,625,297,814,1562,1145,770,700
Rorc3,63,314,839,3473,1230,996,257,709
Rxra2,2063,2221,3040,2598,2896,2476,4346,3607
Rxra4,116,0,0,220,55,0,32,0
Rxrb1,472,406,1721,1937,1873,1622,1251,2136
Rxrb2,362,401,902,1495,713,982,1146,713
Rxrb3,50,43,145,333,238,201,588,27
Rxrg1,497,590,1435,2636,1871,2625,1525,951
Rxrg2,1365,2196,1023,1586,3520,2772,2473,1170
Rxrg3,434,589,1161,4408,3021,1499,1760,2641
Scand1-2,9882,10744,620,841,6,3,357,1762
Scand1-3,99,170,1029,1783,867,716,666,685
Scand1-4,0,827,0,21,213,2,0,2
Tgr5-1,1017,616,1375,1542,1230,815,3225,830
Tgr5-2,345,1341,528,604,519,174,299,517
Tgr5-3,322,689,502,12,403,79,708,136
Thra1,2038,847,832,88,1033,639,372,226
Thra3,0,148,52,79,19,0,63,510
Thra5,45,584,400,1707,879,1372,582,312
Thrb1,284,174,899,2913,793,1144,585,1266
Thrb3,269,340,95,72,440,1230,479,275
Thrb4,16,8,34,327,51,94,19,141
Vdr1,810,1460,4238,4865,5697,4831,6148,5185
Vdr2,59,72,130,1162,159,334,1013,429
Vdr3,190,265,0,614,2,8,4,0
