,si_Mn,mln_Mn,mln_Mp,sp_Mp,sp_Mn,pre_inj,si_Mp,sp_Ame
Abcb1a1,98.8183068132403,99.29775146069734,83.58497689390383,84.28429759286131,99.50465740887863,97.73911794728527,77.93951653788605,97.46157731886453
Abcb1a2,87.09260949129633,90.23309324490285,79.78603788637602,78.92605522760321,90.36264180973566,88.47365595281234,78.88731569838616,86.79151168079314
Abcb1b4,85.92232842187036,84.33897025762973,79.74560531856216,83.08105925244959,83.81432551344462,82.2660283654697,76.6797860875711,84.82186633892339
Abcb1b5,82.29515996515485,86.12074708154842,81.09713427264982,88.26305765359878,89.7837544758053,89.27125455061716,75.56265357816675,87.92424807423825
Ahr1,81.22876799103295,83.09873803530094,85.62725017041012,84.70997770223255,88.83473584867619,85.8592500469911,76.63502024901592,87.33746214147291
Ahr2,69.90402561748292,75.37884789180079,74.24888223420271,81.0753737892851,81.21279968414322,79.28240044334619,68.53792464187762,81.3001181882813
Ahr3,65.47055676628362,69.50324951700806,73.07101904162062,74.94166900653961,68.51546924169541,83.09677624160774,64.93444182656059,73.70746262063761
Ar1,64.0896140325652,67.31461605211935,68.42473411792949,70.53605574408842,71.20422889692766,74.97872506180309,69.92158757574924,68.56029020653311
Ar2,63.020145050107466,74.3972702848532,80.12894867437394,70.81270520549886,71.70101082477022,84.7758699035455,65.43117287697665,78.8287448359897
Ar3,77.9711812578169,81.25264321077282,83.0653018707407,80.84496054205572,76.78480220872119,84.69942833023092,78.98753527484801,83.18637514664688
Blimp-1,85.99447650817554,85.88777995349378,86.60158458914337,88.08686106524777,87.2448855128902,84.56983938485271,83.03564719631129,88.7922641306975
Cd19-1,93.33916470901691,95.88925165027221,96.73352403810375,95.98594708045223,96.9888642187931,97.93401443431986,94.56546131478275,96.18162985487872
Cd19-2,74.19858758506234,74.46205460353683,78.16655429440816,83.33159620247896,79.86280003414801,80.11622890098447,74.43784276660078,81.36285502668298
Cd19-3,82.06743945127195,92.8478881313844,93.66733812446128,92.27769580545151,91.61851139762932,86.79787921908225,81.63255377445499,92.7774563679374
Cd8a-1,82.89533099943412,84.45157619204288,83.95745997252419,87.97378175311773,85.66590643736474,81.91239472826285,78.59686832237706,86.83383162798177
Cd8a-2,67.77025942902306,82.4801411223722,82.20508006872211,81.41980851629661,82.87502131462459,87.43903825318094,71.7903919075228,81.47113191864791
Creb-2,76.24056511540836,75.90160609564784,77.67065251986838,81.32110145210348,79.34043746596593,85.97133783519702,73.77111937520917,80.34433364006152
Creb-3,89.28973476416103,92.880533182448,94.6672237864603,93.1688937241746,92.91853676065304,96.88471804459658,88.64446004606751,94.02167575264076
Dmrta1-1,72.53854921215714,76.95767412387606,77.48786640109164,78.83266696951623,79.25683617739917,85.15819391818161,70.93151123677214,81.5850711740517
Dmrta1-2,86.86117629482295,83.68025023439102,83.71227207158586,80.41448912859656,86.99703678080412,89.34480223896422,77.0893960808171,86.40304455569876
Dmrta1-3,70.75236903470562,73.71659836455716,75.11026398318938,81.82373786470248,81.15927146604974,78.05631219983226,57.98031191902808,80.14481158659034
Dmrta1-4,97.98420175488772,98.31407664665647,96.08751010935846,97.86928596315656,99.05192367728017,88.45541138119542,96.74116408548309,98.63064405186705
Dmrta1-5,85.80554208788523,73.33971342074436,83.42900975439615,84.01851221499408,79.30785898722704,74.07955552239765,87.17769991978234,73.17196733347137
Eomes1,78.51070685756372,83.41598636625554,79.8095016401298,82.12746186438108,80.72788611265317,83.68203363710468,78.32615864020079,80.9764904695885
Eomes2,79.37643474283277,79.0484068355196,80.15114534455621,83.28420514160754,80.65247594133437,81.95270513855243,79.23116529919237,80.50182383055025
Eomes3,72.39181494183151,74.58166369866693,75.92059263260201,74.1648204537378,67.99709237221188,71.66227966865405,74.38096377765041,74.65229724071885
Eomes4,77.31955207708197,82.16182587760436,81.76797696036455,84.71900539893164,85.31411774023442,84.58983944181561,77.5895547780818,86.0344517596435
Eomes5,86.73281765321643,87.8042941478405,86.4324655032965,88.69111964510512,89.91128992445233,86.67027865986213,85.68129916607558,89.34006525248462
Esr1-1,69.0104514225232,71.3836700801689,69.44633484278472,73.47436928656688,74.67565765168719,80.63494191595227,72.43735674590789,72.41463012858199
Esr1-2,72.86378106919942,67.02784376160271,60.27134071779826,67.25844704765714,70.53605574408842,76.58992218713405,50.854673217499844,65.35152559520536
Esr1-3,71.89088723458315,74.01913501720576,66.90879925683319,72.01411492435035,74.62100747675059,79.77595458385076,67.20169809072947,78.48586557127994
Esr2-1,62.35389310130215,62.28225249510471,72.03845079916769,73.65235064692743,57.23490364285322,77.75536434393668,67.39780864880915,62.630836897377584
Esr2-2,75.9709338445113,80.06508581337339,79.53236975134934,82.50179667149892,80.02321744747334,77.43391780182866,77.48786640109164,80.99860191356747
Esr2-3,72.18237170839392,84.13881033356984,86.42229793229417,88.20687126330586,86.5331876439748,86.31389115108018,78.27055353987197,87.89975703912678
Esrra1,66.43773748534976,72.65990284348275,74.5420593516445,71.97741953515713,71.53127684039575,78.7457965434892,56.097922900693675,68.92744445879818
Esrra2,52.84905993553184,57.432553146159414,66.0290976512502,65.02050938103349,69.0104514225232,73.19195132980023,61.06525778493228,55.551393920908055
Esrra3,73.679970656531,56.34864436361433,65.73843628643584,64.28937839849759,72.77879817269539,77.29440385693016,62.42454444202157,71.3836700801689
Esrrb1,60.58407595763657,60.27134071779826,63.32356294097274,61.985191960399966,58.77314065200072,73.12170917920892,59.579372412248496,66.75625463783415
Esrrb2,54.584823011003316,71.64931166346364,76.64063404444929,70.99000727842477,43.57963889333246,82.3241543070387,50.854673217499844,71.50471743344539
Esrrb3,82.73302291605772,77.72256012688102,82.05117911145045,78.2101018850409,77.75536434393668,82.27276329217167,82.40593658597459,82.42566625396194
Esrrb4,81.14312200656774,81.63255377445499,84.38839341795224,84.29559403120577,83.11440982550172,85.47007640926971,79.93206207282864,85.63500145948998
Esrrb5,59.70167708444618,52.28149440976294,72.27638513459796,73.88755803049702,72.12283543240345,70.50447695836813,60.684095379852785,72.83205625391454
Esrrg1,70.24537171598547,65.9578873958727,67.77025942902306,66.06435385991911,59.32518675838501,76.64063404444929,52.28149440976294,67.71856516777261
Esrrg2,61.06525778493228,66.96864508275054,72.19420645907128,74.56585342633669,69.92158757574924,70.7371854945908,65.88572515269571,74.86686294595518
Esrrg3,87.71717347731995,96.90019649664724,93.12925169542092,92.07235022048845,92.93102294854822,94.21632893097423,85.21385191747535,93.75285673580038
Esrrg4,69.93909548739855,71.45123066315584,83.35985574368503,83.50473776688064,73.41703460712469,87.37984286652201,77.40428918549152,84.24052779829367
Hnf4a1,69.48434150135887,58.14972061150513,61.829898214077694,66.2711986193516,43.57963889333246,72.52739151658693,72.35742452777292,64.4818447312799
Hnf4a2,73.81617406588819,72.06268552216277,74.35642018619005,75.98970428965582,72.15863000711238,81.39915895930322,74.5341069012789,76.67420835566901
Hnf4a3,74.72210671645651,68.64886880506099,75.337229063081,72.63802444342411,77.79728436748879,73.83410064748337,71.9281300526279,74.69118075512077
Hnf4a4,58.9171562375376,73.05062030934332,75.64257979038746,72.89533569136105,75.77995272812342,80.21412772166885,69.21276518824503,79.4157901970937
Hnf4a5,60.27134071779826,74.97133213730434,66.09938163106216,83.65701847403541,72.12283543240345,74.34821650812303,64.5288847895223,80.95152000112118
Hnf4g1,79.2495125588371,75.9709338445113,78.07851984343934,79.53936476289621,77.32456930911246,79.03324532606739,82.03020967861492,76.4177576242117
Hnf4g2,93.29021067450043,88.59508228519718,88.87025070229917,88.43152458090893,87.14581197549062,87.14381315368288,78.7378380023052,87.51265721352665
Hnf4g3,65.92192692203932,70.6452315213958,75.97719713385388,71.64931166346364,71.66227966865405,77.38445660050493,64.93444182656059,67.61370372487976
Hnf4g4,70.50447695836813,64.8026710204481,72.17051292464922,76.15606862132627,69.72535553657568,81.17001433285705,49.906505968925366,77.88942447833995
Ncoa1-1,76.504450131961,81.55489264701701,83.69983908170352,81.96686960111053,80.90407602891581,90.05364659494639,76.18638140672222,85.35619505298646
Ncoa1-2,43.57963889333246,48.67349679111055,53.35106268389222,63.88195193671934,67.50681262550596,70.4247598439104,65.77563784089367,60.58407595763657
Ncoa1-3,43.57963889333246,73.8430436868321,73.48387128824888,79.52536678744252,72.03845079916769,82.92768734677853,64.71297139755418,75.914270410023
Ncoa1-4,80.14164226668831,81.33156637474013,84.94187171912908,85.10624768316484,81.4915422726598,90.15809813271468,77.02125619971886,84.9346222431327
Ncoa1-5,81.46090135246403,74.36461260274795,80.64079212955157,80.7192318315678,78.06520491836743,76.29426866619575,81.57754037924381,79.62613878871151
Ncoa2-1,61.66970184895148,61.985191960399966,64.14027087136009,60.684095379852785,70.19545428339947,69.93909548739855,63.610226746403995,69.70717543130469
Ncoa2-2,63.72061798035337,72.02629556011328,60.684095379852785,71.17612131115533,71.32904806083509,79.68103959650283,57.02858522664304,67.17310222019647
Ncoa2-3,59.32518675838501,73.8608894709267,76.98424736520359,75.41331181352368,70.0601659740107,79.8228695053282,62.763901630166345,71.77770702370032
Ncoa2-4,73.11160595437033,77.71785941585303,73.94932315591893,75.03754287776388,78.58054955232664,75.28830719048113,60.16255056281098,72.45999549980363
Ncoa2-5,97.52607098360906,89.84759560250185,92.14232437066964,92.0261832417296,90.8476084509472,87.27036974444134,99.87167599988645,92.40444143344277
Ncoa2-6,59.32518675838501,62.957267046114275,71.97741953515713,67.74447267672704,73.68914881144397,71.2322003735662,54.93046024010364,65.88572515269571
Ncoa3-1,76.72975671185647,78.43169541732692,78.23608274347662,81.96451111771526,81.45834105692664,75.35807444620359,73.8430436868321,83.20760827854878
Ncoa3-2,67.37021726695261,70.36017705096486,73.8430436868321,71.35642352240468,73.7530013075838,69.48434150135887,63.6657141645594,71.96513620737205
Ncoa3-3,72.85322513438709,74.41353237430526,79.3187376457549,76.16821194538713,75.02289236952274,80.27957424581726,72.2060172771103,74.7758457544453
Ncoa3-4,54.584823011003316,72.9162784794368,52.28149440976294,73.76206725528638,71.07665284701308,85.97987309689434,43.57963889333246,77.86192779470727
Ncoa3-5,82.99987127093972,95.19261715689031,91.88450874717346,89.14783152356046,93.97460939017895,88.37539032571537,80.16379337966131,93.30859679607651
Ncoa4-1,74.95651890469178,79.40150820717943,78.51896499975535,78.68986906407677,78.60501147582104,83.9744803956504,71.59714797465634,77.56549629725839
Ncoa4-2,83.4029351974232,89.11688855492868,89.47248513708875,88.18773986148388,90.08024898278914,91.38803157147865,80.60560734711993,88.48236067134444
Ncoa4-3,85.29091723323268,85.7310531871073,87.32488087624863,85.7791356260631,88.22262676271646,90.1505393800757,78.11388551233772,85.0052940945053
Ncoa4-4,77.01598296959112,80.50182383055025,84.8967838892002,85.18747859601473,81.12693015863661,83.19024119290039,74.97872506180309,83.38985613203931
Ncoa4-5,56.58649120055431,68.2858041570973,63.72061798035337,70.3276101410314,72.78948846229531,79.39793252829355,66.599324082642,75.61605522773837
Ncoa5-1,74.07955552239765,71.96513620737205,73.74392148837832,76.16821194538713,78.02061168513221,74.14786484644014,72.06268552216277,78.30910300411603
Ncoa5-2,74.4216468398895,76.9948442825626,81.02338292881299,84.96934053400307,78.0918058986105,89.68114051186681,71.71386402940301,82.89533099943412
Ncoa5-3,75.39265714063299,78.54367298986098,80.32897629081714,80.52867822276973,78.79727734600453,85.99326092807361,74.89689744371972,82.642841481648
Ncoa6-2,88.60592106688242,84.83810383419433,86.11360356361124,89.31563825066772,88.46890221867861,85.96401212923128,86.27576348227713,88.45620585960022
Ncoa6-3,99.99535491577998,99.08674925354013,99.86587177674011,98.1693263143523,96.53519639067827,94.08689204393819,99.99760958529505,98.14108185186606
Ncoa7-1,63.14365274672634,70.37639122416054,68.51546924169541,65.06302702854852,67.66638314740217,75.73450820592666,69.44633484278472,72.13479136349976
Ncoa7-2,96.64713958748197,96.66235948731122,98.89712142919038,97.55782254903647,97.14948283733077,94.99175347161626,94.71137530160097,97.63684909513677
Ncoa7-3,76.0580352576839,75.81863485094497,77.19276139477522,78.58871435765747,75.5155359788039,80.8023856977607,74.5021908676061,75.96466406251011
Non-targeting-negative-control-#2-(RFP)-1,81.01238143092719,78.12269513243359,86.19758821561261,81.75090562340199,86.74353313131925,87.84603453327739,81.5220316905128,86.74674395801237
Non-targeting-negative-control-#4-(EGFP_881)-1,81.95979144086517,76.95767412387606,79.6639355809291,84.5621294371663,83.96086786284425,78.12269513243359,81.95034122537136,83.98975822625152
Non-targeting-negative-control-#5-(EGFP_1212)-2,87.21336568914646,91.31213794070737,91.91449372579235,92.04812904560497,93.57068971640015,89.3013383938299,88.4402948873984,92.25299231186482
Nr0b1-1,76.0703765968935,81.14312200656774,85.76020199742551,79.60888148114583,79.14978120488371,73.12170917920892,76.40026951811464,80.89285951930606
Nr0b1-2,77.56549629725839,79.08990933783056,81.27378832535666,78.17965108178244,79.55333100256834,80.32282262962734,76.60122812379943,79.16094261299098
Nr0b1-3,43.57963889333246,66.72522769448666,50.854673217499844,58.6246979355269,62.209593376856354,72.85322513438709,43.57963889333246,66.81778447820848
Nr0b1-4,66.0290976512502,59.579372412248496,61.75043290905688,60.05131119187027,66.37173375419593,70.7371854945908,51.62760541609119,60.377791241554604
Nr0b2-1,80.35659205016802,72.87431809387867,73.44577139661904,78.26625527140277,79.63647001943423,80.95707773460094,71.71386402940301,76.90954809082349
Nr0b2-2,76.05185513830696,85.0324760758839,91.16394197047384,83.78634287635653,82.12286547064224,86.15870112115836,74.42975029374212,89.1611394414417
Nr0b2-3,67.99709237221188,76.02085951451183,74.25722357546783,68.6707961341751,77.89399527498584,81.6375307350998,56.58649120055431,69.68893688820019
Nr1d1-1,50.854673217499844,66.8482914284234,73.74392148837832,60.782146705296256,62.209593376856354,59.70167708444618,60.377791241554604,68.23871391893202
Nr1d1-2,73.52172749577171,78.93762965247744,84.24052779829367,86.68543544823297,81.88617027141173,91.1491164003883,77.82507234425925,83.19410480138959
Nr1d1-3,43.57963889333246,43.57963889333246,56.34864436361433,64.24014370385,56.34864436361433,73.7257200610277,46.89166021331561,71.7522539201195
Nr1d2-4,71.09096803539309,70.24537171598547,72.82144316688989,69.09225117514609,73.46485200459824,77.0998118411177,67.25844704765714,73.70746262063761
Nr1d2-5,79.09366844623676,79.1311337515445,82.71216830955623,85.61430897041129,82.46493673429394,78.84441837718822,71.63631462653922,84.64183709769652
Nr1d2-6,71.7903919075228,75.66898824948325,68.9064997347054,81.90525366613883,79.91892915798701,77.17222805209326,67.34248688823774,79.30059585412458
Nr1h2-1,59.93750502488707,43.57963889333246,46.89166021331561,49.906505968925366,43.57963889333246,56.58649120055431,43.57963889333246,62.829165867373604
Nr1h2-2,77.88485026609138,75.81220500767549,80.73652827118082,82.04186817673325,76.45258335745334,78.54367298986098,77.49762425055464,81.00962798868879
Nr1h2-3,69.83323033778991,77.34959378978792,71.50471743344539,67.89742190913184,67.02784376160271,74.24888223420271,67.20169809072947,76.07653784276461
Nr1h3-4,88.77503390231543,87.80072765284689,89.81979774112814,90.26848578358535,88.51390068294818,90.3943934629194,85.23321111550972,90.93032210223143
Nr1h3-5,62.06109586191039,67.47976307743781,74.34000153660556,69.23260271181493,71.94049157999443,72.19420645907128,68.44755646833444,68.49292325479973
Nr1h3-6,82.07671183462747,76.06420907286252,74.67565765168719,84.24865713807174,83.95575531247056,85.55310725671208,70.59869614694692,80.53760377344929
Nr1h4-1,87.48822190574974,80.25161072490205,81.53216141971568,80.42358130356226,81.4429569199048,82.08597027741358,84.94766503384318,79.40508181099449
Nr1h4-2,97.85951770577195,98.76884551981892,98.28861165494996,98.71254605738329,98.64870764804927,98.44340029920431,95.52124880717474,98.68839926884625
Nr1h4-3,62.06109586191039,75.1174879003688,70.59869614694692,75.86982874267426,74.51018586907348,77.1876345373403,64.14027087136009,76.69092622050368
Nr1i2-4,76.16214332666456,79.36206107582059,77.59435513109817,75.62269731028022,75.84428601232888,81.29749025394636,68.5825666772571,75.64257979038746
Nr1i2-6,83.74059561369435,74.38096377765041,76.38858271337313,79.27875489883493,74.47814147903941,84.79074575583459,89.8451305400865,75.2531178251186
Nr1i2-7,79.27875489883493,85.51107679420468,83.7352949501321,85.15539745021572,85.2249219509674,86.68219086047145,73.05062030934332,83.59221939692935
Nr1i2-8,80.01675085303326,80.09071037568555,82.3130187987608,81.60010522431335,80.73940630280401,87.03382469474157,79.52886926458677,85.1721567884916
Nr1i3-1,73.47436928656688,59.82100568351759,70.36017705096486,82.0929049855186,76.74080574187452,76.62377707552038,69.57825630144343,78.13149210771466
Nr1i3-2,69.27206969005297,73.00960977630695,68.14332146755453,74.56585342633669,68.40181807882666,76.32980854268273,54.584823011003316,73.76206725528638
Nr1i3-4,63.26428353476937,43.57963889333246,43.57963889333246,70.78261628583505,43.57963889333246,75.9583877742064,52.28149440976294,65.43117287697665
Nr1i3-5,78.26625527140277,71.58403345567818,68.0217327580408,69.36954648257192,71.58403345567818,75.53577434778785,72.2060172771103,63.72061798035337
